,pool_id,Latitude,Longitude,WellDepth,nwells,offshore,setback_any,gas2co2,oil2co2,totalco2,abandoned
15,Antelope Hills:Hopkins:Eocene,35.529433000000004,-119.859785,,5,0,0,146.0150354304,10132.020997375326,10278.036032805727,False
16,Antelope Hills:Hopkins:Phacoides,35.54030900000001,-119.854481,,2,0,0,31.861136159999994,2862.0078740157483,2893.8690101757484,False
17,Antelope Hills:Williams:East Block-Agua,35.519534,-119.854463,2252.0,21,0,0,1510.0964782272001,67540.05581786747,69050.15229609467,False
18,Antelope Hills:Williams:East Block-Button Bed,35.512969,-119.84956899999999,,29,0,0,20419.711133126395,73723.86958312994,94143.58071625634,False
19,Antelope Hills:Williams:Gas Zone,35.519372,-119.86000700000001,,3,0,0,6568.4311428672,37.92650918635171,6606.357652053552,False
20,Antelope Hills:Williams:Point of Rocks,35.5229995,-119.8577615,3000.0,16,0,0,20252.733607884213,55815.37215919291,76068.10576707713,False
21,Antelope Hills:Williams:Upper,35.514488,-119.85176200000001,,9,0,0,22.879330156800002,10800.070254146982,10822.949584303782,False
22,Antelope Hills:Williams:West Block-Button Bed & Agua,35.521210499999995,-119.8601235,2244.0,34,0,0,7480.8733946112,98152.53437746062,105633.40777207182,False
23,Arbuckle Gas::Forbes,39.01183202,-122.070601,6605.0,63,0,18,1545289.3182234822,1.4435695538057742,1545290.761793036,False
24,Arroyo Grande:Oak Park:Martin-Elberta,35.172478999999996,-120.6036915,,16,0,1,2330.7869764392676,8995.735273293963,11326.52224973323,False
25,Arroyo Grande:Tiber:Dollie,35.18304311,-120.6186118,1530.0,327,0,99,501245.15821526153,1159855.2674477922,1661100.4256630538,False
26,Artois Gas (ABD)::Forbes,39.607592,-122.16126399999999,,1,0,0,2109.9354683327997,0.0,2109.9354683327997,True
27,Artois Gas (ABD)::Kione,39.604552000000005,-122.177224,,1,0,0,10230.2163497664,0.0,10230.2163497664,True
28,Ash Slough Gas (ABD)::Blewett,37.02397787,-120.47691019999999,6304.0,3,0,0,368812.071173088,0.0,368812.071173088,True
29,Ash Slough Gas (ABD)::Zilch,37.02397687,-120.46529479999998,6600.0,1,0,0,15.718160505599998,0.0,15.718160505599998,True
30,Asphalto::1st Carneros,35.290804,-119.56810499999999,,6,0,0,805680.074501543,42599.56801102362,848279.6425125665,False
31,Asphalto::Antelope Shale,35.282426,-119.56323450000002,8312.5,30,0,0,2046844.6903371238,66739.94847822835,2113584.638815352,False
32,Asphalto::Etchegoin,35.279177000000004,-119.54948,3521.0,11,0,0,35329.7067665657,12068.904643342521,47398.61140990822,False
33,Asphalto::Olig,35.295173999999996,-119.57921499999999,,3,0,0,1468.5252815231997,1672.0472440944882,3140.572525617688,False
34,Asphalto::Stevens,35.28912201,-119.57043569999999,7931.5,96,0,0,2974220.323414155,451807.716861521,3426028.0402756757,False
35,Asphalto::Tulare,35.301435999999995,-119.606652,526.0,12,0,0,18423.261997401594,19233.451826482935,37656.71382388453,False
36,Bandini::Pliocene,34.009745995,-118.16745784999999,,18,0,0,34206.90472379519,40169.22572178477,74376.13044557997,False
37,Bandini:pool,34.002333815,-118.16360764999999,,6,0,6,481.31556359039996,21350.258737532808,21831.574301123208,False
38,Bardsdale::,34.36465454,-118.9195175,,3,0,0,10.1955635712,149.4750656167979,159.67062918799792,False
39,Bardsdale::Deep,34.36506932,-118.9338332,11730.0,5,0,5,123377.9191150519,107496.75488517061,230874.67400022253,False
40,Bardsdale::npool,34.362063595,-118.92272365,8027.5,110,0,69,603674.4761664792,206326.71070139954,810001.1868678788,False
41,Barham Ranch:La Laguna:Monterey,34.715402575,-120.23756265,,22,0,0,515643.358567968,310459.05511811026,826102.4136860783,False
42,Barham Ranch:pool,34.705108429999996,-120.208793,5400.0,10,0,0,44921.9565340992,29525.590551181103,74447.5470852803,False
43,Beer Nose::Bloemer,35.6314085,-119.867137,11850.0,6,0,0,12658.611043502291,19490.689897900258,32149.30094140255,False
44,Belgian Anticline:Main:Oceanic,35.298715,-119.65890900000001,,2,0,0,1696.5384821069404,2035.2688001049867,3731.807282211927,False
45,Belgian Anticline:Main:Point of Rocks,35.297365,-119.656508,,4,0,0,24375.257320349767,15970.795880564303,40346.05320091407,False
46,Belgian Anticline:Main:npool,35.2936305,-119.656802,5557.0,92,0,10,680348.3378820905,276249.08047379914,956597.4183558896,False
47,Belgian Anticline:Northwest:Eocene,35.317665999999996,-119.75466200000001,,13,0,0,148310.1903036096,49.40944881889764,148359.59975242848,False
48,Belgian Anticline:Northwest:Miocene,35.32676599999999,-119.769713,,2,0,0,19691.456592326394,0.0,19691.456592326394,False
49,Belgian Anticline:Northwest:npool,35.314498,-119.72590100000001,4200.0,65,0,0,208987.509012768,52947.36328644093,261934.87229920892,False
50,"Bellevue, West::Stevens",35.364301,-119.20065,,19,0,10,86820.48520518298,236934.4430684449,323754.9282736279,False
51,"Bellevue, West::Tulare-Etchegoin",35.362549,-119.20545150000001,,2,0,2,8252.944583616,15487.33595800525,23740.28054162125,False
52,Bellevue:Main:Stevens,35.361147,-119.159897,10965.0,24,0,17,93496.27494608473,158610.16801603674,252106.44296212145,False
53,Bellevue:South:Stevens,35.337661,-119.16453999999999,,3,0,1,7563.4089092352,11322.30971128609,18885.71862052129,False
54,Belmont Offshore:Old:,33.73965836,-118.1383209,,5,0,1,1.0923818112,5642.913385826772,5644.005767637972,False
55,Belmont Offshore:Old:237 (ABD),33.721591,-118.12508000000001,,1,0,0,1251.6874919999998,675.0656167979002,1926.7531087979,True
56,Belmont Offshore:Old:Intermediate,33.7218735,-118.125225,,2,0,0,3544.17209856,14736.482939632546,18280.655038192544,False
57,Belmont Offshore:Old:Lower,33.7223155,-118.1257285,9259.5,24,0,0,75125.87687063424,263338.0424966535,338463.9193672878,False
58,Belmont Offshore:Old:Upper,33.722246000000005,-118.12577399999999,7748.0,37,0,0,82648.33536042033,636612.8904116797,719261.2257721,False
59,Belmont Offshore:Old:npool,33.739788000000004,-118.13850349999998,7512.0,2,0,0,8817.7666678848,39741.666666666664,48559.43333455146,False
60,Belmont Offshore:Surfside:,33.71866417,-118.11412810000002,,2,0,0,7.5859847999999985,2110.958005249344,2118.543990049344,False
61,Belmont Offshore:Surfside:npool,33.718945000000005,-118.11409099999999,6700.0,66,0,0,266670.0629865216,773619.4881889767,1040289.5511754982,False
62,Belridge North:pool,35.517082,-119.76259099999999,2724.0,1,0,0,0.7889424192,0.8530183727034121,1.641960791903412,False
63,"Belridge, North::",35.53990555,-119.7747803,,1,0,0,0.1213757568,2.099737532808399,2.221113289608399,False
64,"Belridge, North::Belridge 64",35.540067,-119.792828,8638.0,55,0,0,9027684.418281691,181497.25422064043,9209181.672502331,False
65,"Belridge, North::Diatomite",35.528818,-119.77859985,1680.0,1552,0,0,4238905.46337311,4880503.584940146,9119409.048313256,False
66,"Belridge, North::R Sand",35.5544545,-119.8135,,24,0,0,795368.7865865679,25790.237556312335,821159.0241428802,False
67,"Belridge, North::Temblor",35.538078000000006,-119.79256699999999,,17,0,0,1242662.2236588972,118825.98011456628,1361488.2037734636,False
68,"Belridge, North::Tulare",35.526775,-119.77169900000001,846.0,438,0,0,23250.573667825138,922260.0696120395,945510.6432798646,False
69,"Belridge, South::",35.429347995,-119.67645265000002,,32,0,10,363.03488858879996,8280.828840223097,8643.863728811897,False
70,"Belridge, South::Antelope Shale",35.432196000000005,-119.681701,5450.0,57,0,0,1115716.0587961585,235055.35957786086,1350771.4183740194,False
71,"Belridge, South::Belridge 64",35.511531,-119.768279,9135.0,1,0,0,23825.2721174208,820.2099737532808,24645.482091174083,False
72,"Belridge, South::Diatomite",35.454984,-119.720151,1995.0,10033,0,0,27271309.188759964,34197666.5379292,61468975.72668916,False
73,"Belridge, South::Diatomite-Antelope Shale",35.41938446,-119.66245245000002,5356.0,24,0,0,218324.49968091093,37535.61681820209,255860.11649911304,False
74,"Belridge, South::McDonald",35.442876,-119.700447,,1,0,0,6054.951003724798,1439.8293963254594,7494.780400050257,False
75,"Belridge, South::Monterey (Undifferentiated)",35.410781650000004,-119.6521756,9949.0,6,0,0,46902.08184125757,4595.617603346457,51497.699444604026,False
76,"Belridge, South::Tulare",35.448343,-119.7091,1250.0,9435,0,0,1715787.4507357937,60885895.34884888,62601682.79958467,False
77,"Belridge, South::Tulare-Etchegoin",35.456258,-119.74877099999999,714.0,1,0,0,0.0,33.333333333333336,33.333333333333336,False
78,"Belridge, South::npool",35.4646435,-119.73111899999999,9515.0,1112,0,0,487729.27067713503,1229327.2819201238,1717056.552597259,False
79,Beverly Hills:East:,34.0749054,-118.3772812,,1,0,0,0.0,1524.1469816272966,1524.1469816272966,False
80,Beverly Hills:East:Miocene,34.051364,-118.362996,4494.5,7,0,6,129797.38515619634,195027.11875144354,324824.5039076399,False
81,Beverly Hills:East:Pliocene,34.0554699,-118.3903135,,1,0,1,1725.1743192768,957.0209973753281,2682.195316652128,False
82,Beverly Hills:East:npool,34.05547073,-118.377684,8450.0,107,0,106,2583188.3106683753,2705480.1235224865,5288668.434190862,False
83,Beverly Hills:West:Miocene,34.05945,-118.41167300000001,8110.0,44,0,21,568214.415295603,649233.5958005249,1217448.0110961278,False
84,Beverly Hills:West:Pliocene,34.05955068,-118.413285,,6,0,2,5989.7722223231995,13586.023622047242,19575.79584437044,False
85,Beverly Hills:West:npool,34.059538,-118.411078,,3,0,2,32819.094320544,46684.44881889764,79503.54313944164,False
86,Big Mountain::Sespe,34.333245175,-118.8074847,6822.5,12,0,0,246208.66648846955,108073.84019543309,354282.50668390264,False
87,Bitterwater:pool,36.40149405,-120.9917804,1710.0,11,0,4,112.39395079679998,7552.936235984252,7665.330186781051,False
88,Bixler Gas (ABD)::4th Massive,37.944824,-121.611843,,3,0,0,338451.20005501434,0.0,338451.20005501434,True
89,Blackwells Corner::Agua,35.639195,-119.966685,,2,0,0,0.0,10.761154855643046,10.761154855643046,False
90,Blackwells Corner::npool,35.642724,-119.965028,1495.0,37,0,0,66.87804199679998,31717.366512080058,31784.244554076857,False
91,Bounde Creek Gas::Forbes-Lower,39.439227475,-122.0348448,,2,0,1,73824.13380695038,0.0,73824.13380695038,False
92,Bounde Creek Gas::npool,39.42705,-122.03259825,,36,0,12,1872317.6030545344,3797.965879265091,1876115.5689337994,False
93,Bowerbank::Gas Zone,35.412664,-119.409345,5115.0,33,0,1,673563.2923525824,16.666666666666668,673579.9590192491,False
94,Bowerbank::Stevens (ABD),35.405153,-119.38637100000001,13367.0,2,0,0,1613.1444957504,953.4120734908137,2566.5565692412138,True
95,Bowerbank::npool,35.421670000000006,-119.4112865,11659.5,2,0,1,9.10318176,72.76902887139107,81.87221063139107,False
96,Brea-Olinda::npool,33.930279,-117.86027,5292.0,897,0,575,3088827.6083179945,4609218.75187263,7698046.360190624,False
97,"Brentwood, East, Gas::Third Massive",37.940883,-121.678394,,11,0,2,2919780.4921143553,5129.724409448819,2924910.2165238042,False
98,Brentwood::Gas Zone,37.950478000000004,-121.75230499999999,,8,0,0,41186.3748670656,59.25196850393701,41245.626835569536,False
99,Brentwood:Main:First Massive,37.944929939999994,-121.74444500000001,,10,0,0,288344.7387570816,3847.6377952755906,292192.3765523572,False
100,Brentwood:Main:First Massive Block IA,37.947045145000004,-121.73787340000001,,6,0,0,68.4559268352,4362.27034120735,4430.72626804255,False
101,Brentwood:Main:First Massive Block III,37.942643,-121.75423500000001,,3,0,0,2829.3902667648,2.952755905511811,2832.3430226703117,False
102,Brentwood:Main:Prewett,37.954703,-121.768075,,11,0,0,26708.007029299195,30490.68241469816,57198.689443997355,False
103,Brentwood:Main:Second Massive,37.940408000000005,-121.74091865,,8,0,0,18728.27927424,12136.220472440944,30864.499746680944,False
104,Brentwood:Main:Third Massive,37.937027865000005,-121.74388739999999,,14,0,0,40007.876956416,48137.33595800524,88145.21291442125,False
105,Brentwood:West:First Massive,37.948873000000006,-121.77044500000001,,2,0,0,6304.378183948799,1640.3543307086616,7944.73251465746,False
106,Brentwood:West:Hamilton,37.951353000000005,-121.769825,,1,0,0,367.5257915904,5.511811023622047,373.03760261402203,False
107,Brentwood:West:Second Massive,37.944423,-121.77051499999999,,3,0,0,30369.5494846848,27084.90813648294,57454.45762116774,False
108,Brentwood:West:Third Massive,37.938503000000004,-121.77069499999999,,3,0,0,4338.637114694399,1029.5931758530182,5368.230290547417,False
109,Buckeye Gas::Forbes,38.967727010000004,-121.9160856,8971.0,14,0,1,995562.9795794111,4696.522309711287,1000259.5018891224,False
110,Buckeye Gas::Kione,38.93845249,-121.911625,,1,0,0,1478.9029087296,0.0,1478.9029087296,False
111,Buena Vista:Buena Vista Hills:27B (Undifferentiated),35.186696000000005,-119.464262,3484.5,67,0,3,510011.5234524481,73707.77080853019,583719.2942609782,False
112,Buena Vista:Buena Vista Hills:555 Stevens,35.211382,-119.5276718,5902.5,49,0,0,1381537.6782163845,724400.2862374252,2105937.96445381,False
113,Buena Vista:Buena Vista Hills:Antelope Shale-East Dome,35.162585,-119.416726,6414.0,157,0,0,6324455.099539192,327080.5207482172,6651535.62028741,False
114,Buena Vista:Buena Vista Hills:Antelope Shale-West Dome,35.200901,-119.46983900000001,8103.0,82,0,0,2451336.6068978687,194607.44521217383,2645944.0521100424,False
115,Buena Vista:Buena Vista Hills:Gas Zone,35.1607275,-119.40511000000001,3598.5,102,0,0,881635.628159078,16310.202315223096,897945.830474301,False
116,Buena Vista:Buena Vista Hills:Gas Zone-Upper,35.168591,-119.43480100000001,,21,0,0,163170.52764802557,11025.0,174195.52764802557,False
117,Buena Vista:Buena Vista Hills:Reef Ridge,35.177924,-119.44700700000001,,3,0,0,56872.431484992005,8442.782152230971,65315.21363722297,False
118,Buena Vista:Buena Vista Hills:Sub-Scalez & Mulinia,35.196889,-119.47404800000001,,4,0,0,43994.160249119996,5364.041994750656,49358.20224387065,False
119,Buena Vista:Buena Vista Hills:Tulare,35.176282,-119.45948200000001,7307.0,7,0,1,45129.084263078395,4093.438320209974,49222.522583288366,False
120,Buena Vista:Buena Vista Hills:Upper (To-Etchegoin 8d),35.1898,-119.461314,3688.0,4,0,0,21395.67666236538,4174.980196922572,25570.65685928795,False
121,Buena Vista:Buena Vista Hills:Upper (Undifferentiated),35.174411,-119.451182,3280.0,1028,0,27,4507893.526680745,1898738.8474412356,6406632.374121981,False
122,Buena Vista:Buena Vista Hills:npool,35.184712000000005,-119.45948150000001,9150.0,14,0,0,180387.1552800316,18493.008077841212,198880.16335787284,False
123,Buena Vista:Front:pool,35.213698355,-119.443736,4529.0,168,0,0,278850.6568050876,430508.1255950263,709358.7824001139,False
124,Bullock Bend Gas (ABD)::Forbes,38.910958,-121.831938,,1,0,0,27462.539421446396,0.0,27462.539421446396,True
125,Bullock Bend Gas (ABD)::Starkey,38.91397271,-121.83145390000001,,1,0,0,20805.079160966397,0.0,20805.079160966397,True
126,Bunker Gas:pool,38.36474283,-121.7974858,,55,0,1,7919543.646737796,36284.97375328084,7955828.620491077,False
127,"Burrel, Southeast::Miocene",36.47093025,-119.93774350000001,7000.0,5,0,0,667.1418472511999,2985.433070866142,3652.574918117342,False
128,Burrel::Miocene,36.50563083,-119.9892426,6714.5,8,0,3,19340.34778944392,29522.427786745408,48862.77557618933,False
129,Butte Sink Gas:pool,39.225865795000004,-121.94463075,,8,0,0,150941.98083830398,0.0,150941.98083830398,False
130,Butte Slough Gas:pool,39.188506,-121.92614895,,16,0,5,628298.0244903744,1121.719160104987,629419.7436504794,False
131,Buttonwillow Gas (ABD):pool,35.537827,-119.5486355,,4,0,0,1900.4409120959997,0.0,1900.4409120959997,True
132,Cabrillo::Topanga,34.171240999999995,-119.134349,7140.0,7,0,7,81782.12918845243,26846.185787926508,108628.31497637893,False
133,Cache Creek Gas::Starkey,38.735106815,-121.72364445000002,,14,0,0,120972.60722378879,0.0,120972.60722378879,False
134,Cache Creek Gas::Winters,38.742924,-121.7271595,,4,0,0,40087.92426802559,0.0,40087.92426802559,False
135,Cache Slough Gas (ABD):pool,38.213576265,-121.68813285,,4,0,0,58458.08437182719,0.0,58458.08437182719,True
136,Cal Canal Gas::Etchegoin,35.445791,-119.63734099999999,,1,0,0,3395.911611628799,630.3805774278215,4026.292189056621,False
137,Cal Canal Gas::Stevens,35.444499,-119.63488100000001,,19,0,0,597753.754603776,185475.13123359578,783228.8858373718,False
138,Calders Corner::Stevens,35.392538,-119.255733,,3,0,2,6700.912781414399,6291.2073490813655,12992.120130495765,False
139,Caliente Offshore Gas (ABD)::Vaqueros-Sespe,34.440331,-120.228199,,1,0,0,30480.7296779136,0.0,30480.7296779136,True
140,Camden::Miocene,36.48230157,-119.84208490000002,6576.0,1,0,1,771.8284374911999,3403.5433070866143,4175.371744577814,False
141,Canada Larga:pool,34.3824963,-119.23449620000001,,3,0,0,42.784954272,1637.7952755905512,1680.5802298625513,False
142,Canal:Main:Gas Zone,35.3221015,-119.26626350000001,,2,0,0,11075.2950564864,0.0,11075.2950564864,False
143,Canal:Main:Lower Stevens,35.317899999999995,-119.25261749999999,,2,0,0,1601.7958624896,4361.811023622047,5963.606886111647,False
144,Canal:Main:Middle Stevens,35.32067,-119.255766,,7,0,0,13690.881927648,21393.89763779528,35084.77956544328,False
145,Canal:Main:Upper Stevens,35.318835,-119.257878,,9,0,0,5980.365601171199,8150.3937007874,14130.759301958598,False
146,Canal:Pioneer Canal:Lower Stevens,35.338662,-119.288417,,3,0,0,10091.8479870144,17743.67603116798,27835.52401818238,False
147,Canal:Pioneer Canal:Upper Stevens,35.3399055,-119.286606,,4,0,0,13361.2253721792,12123.293963254593,25484.519335433793,False
148,"Canfield Ranch:Gosford, East,:Etchegoin",35.311541,-119.135117,,1,0,1,2513.691923328,2774.6062992125985,5288.2982225405985,False
149,"Canfield Ranch:Gosford, East,:Stevens",35.31042038,-119.14163899999998,10485.0,91,0,38,447330.516349182,552364.7473368108,999695.2636859928,False
150,"Canfield Ranch:Gosford, South,:Stevens",35.289471,-119.1426085,,18,0,5,92245.69654375679,129552.49343832019,221798.189982077,False
151,"Canfield Ranch:Gosford, West,:Stevens",35.304362,-119.171774,,1,0,0,1877.0760789119997,1429.7900262467192,3306.8661051587187,False
152,Canfield Ranch:Old River (ABD):Stevens,35.261257,-119.136154,,1,0,0,11289.766018752,891.1417322834645,12180.907751035464,True
153,Canfield Ranch:Old:Etchegoin,35.278864,-119.18473700000001,,1,0,0,496.9123483391999,184.84251968503938,681.7548680242393,False
154,Canfield Ranch:Old:Stevens,35.281239,-119.1826705,,8,0,0,8626.4177872896,10923.467113254594,19549.884900544195,False
155,Canton Creek (ABD):pool,34.516610535,-118.7373815,,4,0,0,0.0,35.43307086614173,35.43307086614173,True
156,Cantua Nueva (ABD)::Temblor,36.46759624,-120.3281774,8648.0,1,0,0,0.0,5653.608923884514,5653.608923884514,True
157,Capitan (ABD):Onshore:npool,34.4687505,-120.041122,,24,0,0,16.749854438399996,43520.86614173228,43537.61599617068,True
158,Capitola Park (ABD):pool,35.016782,-119.40666399999999,,3,0,0,117.9772356096,381.95538057742783,499.93261618702786,True
159,Careaga Canyon:Old:Monterey,34.755306825000005,-120.35977045,,2,0,2,4445.3264049215995,6394.160104986877,10839.486509908476,False
160,Careaga Canyon:San Antonio Creek:Monterey,34.766672,-120.39600324999999,,4,0,2,54995.051966688,26369.291338582676,81364.34330527068,False
161,Carneros Creek::Button Bed,35.466196999999994,-119.853691,,3,0,0,3087.8297152786317,13098.085026443568,16185.914741722201,False
162,Carneros Creek::Carneros,35.464338999999995,-119.85125400000001,2660.0,2,0,0,1071.2624295168,1789.8817628110237,2861.1441923278235,False
163,Carneros Creek::Phacoides,35.4588485,-119.8461395,2874.5,12,0,0,2563.6380472512,11755.24934383202,14318.887391083219,False
164,Carneros Creek::Point of Rocks,35.464196,-119.852478,3357.0,23,0,0,42480.63952127664,84886.7618598097,127367.40138108634,False
165,Carpinteria Offshore (ABD):pool,34.340934365,-119.53156200000001,,76,1,0,1163800.7023223229,806683.3989501311,1970484.101272454,True
166,Cascade::,34.31599101,-118.50831950000001,,1,0,0,0.0,895.1443569553805,895.1443569553805,False
167,Cascade::Deep,34.315962490000004,-118.50929134999998,6900.0,14,0,14,329714.3303290368,260093.8320209974,589808.1623500342,False
168,Cascade::npool,34.316166665,-118.50875475,11074.0,10,0,7,15314.0399233344,74167.71653543308,89481.75645876749,False
169,Casmalia:pool,34.8511,-120.5087805,2050.0,215,0,21,457865.93762871454,769379.3601952101,1227245.2978239246,False
170,Castaic Hills::Lower Radovich (ABD),34.48722039,-118.6271673,,1,0,0,0.0,3.937007874015748,3.937007874015748,True
171,Castaic Hills::Rynne-Fisher,34.47896932,-118.62612949999999,,1,0,1,16070.8177669824,5849.6719160104985,21920.4896829929,False
172,Castaic Hills::Sterling,34.47721792,-118.63040120000001,5867.0,23,0,18,73629.5077809216,40137.467191601056,113766.97497252266,False
173,"Castaic Hills::Sterling, East (ABD)",34.475652385000004,-118.61732805,,2,0,0,276.61534974719996,2269.3569553805773,2545.9723051277774,True
174,Castaic Hills::Upper Radovich (ABD),34.48767737,-118.6277873,,1,0,0,0.0,47.965879265091864,47.965879265091864,True
175,Castaic Junction (ABD)::10-A,34.41465995,-118.6052334,,20,0,0,210512.23126968954,127674.54068241468,338186.77195210423,True
176,Castaic Junction (ABD)::10-B,34.42225913,-118.60898700000001,,3,0,0,17488.3045427712,5105.446194225721,22593.75073699692,True
177,Castaic Junction (ABD)::15,34.41896828,-118.62204240000001,,3,0,0,27852.2769765312,7931.9553805774285,35784.23235710863,True
178,Castaic Junction (ABD)::21 Del Valle,34.425236014999996,-118.62688854999999,,2,0,0,21422.153508537594,1640.223097112861,23062.376605650454,True
179,Castaic Junction (ABD)::21 Main,34.42023522,-118.61565719999999,,3,0,0,29763.216891590397,597.9002624671916,30361.11715405759,True
180,Castaic Junction (ABD)::21 North,34.427247425,-118.6089825,,6,0,0,54032.4208395072,17336.351706036745,71368.77254554394,True
181,Cat Canyon:Central:Sisquoc,34.81295989,-120.293983,2552.0,106,0,0,273933.55240070395,325311.54855643044,599245.1009571344,False
182,Cat Canyon:East:npool,34.831210399999996,-120.3005558,2426.0,483,0,0,838818.2665600128,1560635.170603675,2399453.437163688,False
183,Cat Canyon:Gato Ridge:npool,34.79319942,-120.25821280000001,4696.0,83,0,0,470761.8808487613,386302.49343832023,857064.3742870815,False
184,Cat Canyon:Olivera Canyon:Monterey,34.841666000000004,-120.26680300000001,,18,0,2,5511.066237503999,81929.59317585302,87440.65941335702,False
185,Cat Canyon:Sisquoc:,34.85939789,-120.3323822,,1,0,0,0.0,112.99212598425197,112.99212598425197,False
186,Cat Canyon:Sisquoc:npool,34.86578334,-120.320171,3939.0,571,0,71,1095127.2060191105,2014971.6832689638,3110098.8892880743,False
187,Cat Canyon:Tinaquaic:Monterey,34.81753448,-120.2417528,,4,0,0,323.0415767232,13191.732283464567,13514.773860187768,False
188,Cat Canyon:West:npool,34.828981065,-120.32712075,5474.0,244,0,0,1446192.749150784,990850.1312335959,2437042.88038438,False
189,Catlett Gas (ABD)::Starkey,38.841259,-121.605502,,2,0,0,562.576632768,0.0,562.576632768,True
190,Chaffee Canyon::Eocene,34.37135981,-118.8250989,,5,0,0,344895.8279259456,20650.3280839895,365546.1560099351,False
191,Cheney Ranch Gas (ABD)::U. Cretaceous,36.68595697,-120.5841855,7394.0,5,0,0,28965.110602751996,817.6509186351706,29782.76152138717,True
192,Cheviot Hills::Miocene,34.051999499999994,-118.4119796,,32,0,6,172793.68315015675,94040.81364829394,266834.4967984507,False
193,Cheviot Hills::Pliocene,34.05067543,-118.40542250000001,,15,0,15,132539.67351987108,152278.83315367452,284818.5066735456,False
194,Chico-Martinez::Etchegoin,35.44509386,-119.78721999999999,1100.0,133,0,0,1012.6379389823999,59826.348377362214,60838.98631634461,False
195,Chico-Martinez::Tulare,35.442667,-119.7858535,900.0,2,0,0,0.0,254.002624671916,254.002624671916,False
196,Chino-Soquel:pool,33.94860846,-117.74090515,,10,0,10,7.4646090432,4179.330708661418,4186.795317704617,False
197,Chowchilla Gas::Cretaceous,37.080609429999996,-120.47860595,8266.0,2,0,1,346019.2819308864,0.0,346019.2819308864,False
198,Chowchilla Gas::Domengine (ABD),37.07942902,-120.47276310000001,3200.0,1,0,0,41053.71116488319,0.0,41053.71116488319,True
199,Chowchilla Gas::Garzas,37.081511,-120.48308259999999,8091.0,1,0,1,19321.078470451197,0.0,19321.078470451197,False
200,Chowchilla Gas::Zilch Upper Sands,37.10975755,-120.4880159,3242.0,3,0,0,48525.6027534912,0.0,48525.6027534912,False
201,Cienaga Canyon::Temblor,35.011298,-119.3362761,3035.0,32,0,0,63102.83114517119,50362.86089238846,113465.69203755965,False
202,Clarksburg Gas::Forbes,38.40216403,-121.5564669,,1,0,1,1276.6908979007999,0.0,1276.6908979007999,False
203,Clarksburg Gas::Markley Canyon Fill (ABD),38.445774,-121.582033,,8,0,0,114728.43141521278,0.0,114728.43141521278,True
204,Clarksburg Gas::Pollock (ABD),38.43323178,-121.5875332,,3,0,0,181531.8880094592,0.0,181531.8880094592,True
205,Clarksburg Gas::Starkey (ABD),38.4498995,-121.57667950000001,,2,0,1,11808.829442707198,0.0,11808.829442707198,True
206,Coal Oil Point Offshore (ABD):Devereaux:Vaqueros-Sespe,34.37859,-119.86375600000001,,1,1,0,1854.4395002687995,64.10761154855643,1918.547111817356,True
207,"Coalinga, East, Extension:Coalinga Nose:Gatchell",36.20321673,-120.27514009999999,7900.0,89,0,0,14809237.908051684,931296.3910761153,15740534.2991278,False
